Item,Pallet No.,Serial No,Pmax(W),Voc(V),Isc(A),Ipm(A),Vpm(V),FF,Order,Pallet Order,Exclude,UUID,Inverter,String
1007,26,H1NE07407,335.2,70.7,6.1,5.664,59.17,77.76,2043,26,0,3021,15,S49
1008,26,H1NE07399,333.4,70.6,6.082,5.627,59.25,77.67,709,26,0,3024,15,S50
1009,26,H1NE07406,335.6,70.8,6.098,5.66,59.28,77.76,1956,26,0,3027,15,S49
1010,26,H1NE07400,333.4,70.6,6.078,5.631,59.2,77.74,804,26,0,3030,15,S50
1011,26,H1NE07402,336,70.8,6.095,5.662,59.33,77.9,2009,26,0,3033,15,S49
1012,26,H1NE07405,333.7,70.6,6.07,5.629,59.28,77.91,757,26,0,3036,15,S50
1013,26,H1NE07408,333.6,70.6,6.088,5.63,59.26,77.63,778,26,0,3039,15,S50
1014,26,H1NE07403,335.2,70.8,6.086,5.658,59.25,77.85,1885,26,0,3042,15,S49
1015,26,H1NE07409,334,70.6,6.067,5.63,59.32,77.96,782,26,0,3045,15,S50
1016,26,H1NE07411,333.4,70.7,6.097,5.664,58.85,77.32,2036,26,0,3048,15,S49
1017,26,H1NE07410,334,70.8,6.064,5.624,59.39,77.85,644,26,0,3051,15,S48
1018,26,H1NE07414,334.8,70.9,6.081,5.655,59.21,77.71,1765,26,0,3054,15,S49
1019,26,H1NE07413,333.6,70.8,6.067,5.62,59.36,77.68,513,26,0,3057,15,S48
1020,26,H1NE07415,335.6,70.7,6.084,5.661,59.28,78.02,1986,26,0,3060,17,S80
1021,26,H1NE07416,333.6,70.8,6.094,5.621,59.34,77.36,553,26,0,3063,15,S48
1022,26,H1NE07417,334.4,70.7,6.099,5.661,59.07,77.56,1971,26,0,3066,17,S80
1023,26,H1NE07418,335.4,70.7,6.089,5.664,59.21,77.88,2045,26,0,3069,17,S80
1024,26,H1NE07314,332.5,70.4,6.093,5.628,59.07,77.46,726,26,0,3072,15,S50
1025,26,H1NE07419,335.7,70.8,6.083,5.665,59.26,77.98,2071,26,0,3075,17,S80
1026,26,H1NE07412,333.3,70.6,6.09,5.625,59.25,77.53,666,26,0,3078,15,S48
1027,26,H1NE07420,334.6,70.8,6.104,5.661,59.11,77.48,1974,26,0,3081,17,S80
1028,26,H1NE07425,332.3,70.5,6.085,5.668,58.63,77.5,2096,26,0,3084,15,S42
1029,26,H1NE07423,334.7,70.7,6.087,5.661,59.12,77.74,1975,26,0,3087,17,S80
1030,26,H1NE07427,335,70.6,6.095,5.665,59.15,77.87,2066,26,0,3090,17,S80
1031,26,H1NE07421,333.6,70.8,6.062,5.619,59.36,77.78,473,26,0,3093,15,S48
1032,26,H1NE07424,334.1,70.6,6.077,5.662,59.02,77.92,1998,26,0,3096,17,S80
1033,26,H1NE07422,332.4,70.6,6.078,5.621,59.14,77.47,531,26,0,3099,15,S48
1034,26,H1NE07366,333.2,70.7,6.058,5.619,59.3,77.76,455,26,0,3102,15,S48
1035,26,H1NE07376,333.3,70.7,6.068,5.616,59.35,77.66,335,26,0,3105,15,S48
1036,26,H1NE07364,334.7,70.8,6.076,5.649,59.24,77.77,1490,26,0,3108,17,S80
1037,26,H1NE07365,332.3,70.7,6.068,5.617,59.15,77.43,356,26,0,3111,15,S48
1038,26,H1NE07370,335,70.7,6.066,5.657,59.21,78.1,1837,26,0,3114,17,S80
1039,26,H1NE07356,335.7,70.8,6.078,5.652,59.39,78.05,1640,26,0,3117,17,S80
1040,26,GZNE29592,335,70.8,6.079,5.658,59.22,77.87,1879,26,0,3120,17,S80
1041,27,H1NE07523,335.2,70.8,6.078,5.655,59.28,77.9,1770,20,0,3123,14,S27
1042,27,H1NE07564,332.3,70.8,6.046,5.601,59.33,77.68,18,20,0,3126,04,N78
1043,27,H1NE07513,334.7,70.8,6.075,5.654,59.2,77.79,1717,20,0,3129,14,S37
1044,27,H1NE07522,335.9,70.9,6.076,5.658,59.38,78.02,1893,20,0,3132,14,S37
1045,27,H1NE07588,332.9,70.7,6.067,5.61,59.34,77.57,144,20,0,3135,14,S28
1046,27,H1NE07575,333.9,70.8,6.053,5.634,59.25,77.87,884,20,0,3138,14,S35
1047,27,H1NE07565,332.2,70.7,6.034,5.605,59.26,77.86,50,20,0,3141,08,N80
1048,27,H1NE07585,334.9,70.8,6.07,5.645,59.33,77.89,1298,20,0,3144,14,S37
1049,27,H1NE07586,334.7,70.8,6.072,5.648,59.27,77.86,1437,20,0,3147,14,S37
1050,27,H1NE07571,332.9,70.7,6.062,5.618,59.26,77.68,401,20,0,3150,14,S28
1051,27,H1NE07563,334.8,70.8,6.082,5.648,59.27,77.74,1440,20,0,3153,14,S37
1052,27,H1NE07589,335.3,70.9,6.094,5.653,59.3,77.59,1678,20,0,3156,14,S37
1053,27,H1NE07572,332.7,70.8,6.075,5.607,59.34,77.4,80,20,0,3159,14,S28
1054,27,H1NE07566,334.7,70.9,6.082,5.652,59.22,77.65,1629,20,0,3162,14,S37
1055,27,H1NE07573,332.6,70.8,6.065,5.609,59.31,77.51,115,20,0,3165,14,S28
1056,27,H1NE07590,333.1,70.7,6.081,5.655,58.9,77.48,1750,20,0,3168,14,S37
1057,27,H1NE07591,333.6,70.7,6.084,5.651,59.03,77.58,1573,20,0,3171,14,S37
1058,27,H1NE07561,333.2,70.7,6.061,5.617,59.31,77.73,369,20,0,3174,14,S38
1059,27,H1NE07593,333.8,70.8,6.068,5.655,59.02,77.72,1754,20,0,3177,14,S37
1060,27,H1NE07553,331.4,70.7,6.04,5.611,59.05,77.62,152,20,0,3180,14,S38
1061,27,H1NE07574,335.1,70.9,6.08,5.657,59.23,77.77,1839,20,0,3183,14,S37
1062,27,H1NE07554,331.6,70.6,6.069,5.626,58.94,77.38,679,20,0,3186,14,S35
1063,27,H1NE07540,334.9,70.7,6.1,5.657,59.2,77.64,1834,20,0,3189,14,S37
1064,27,H1NE07541,333.3,70.6,6.053,5.623,59.26,77.93,611,20,0,3192,14,S35
1065,27,H1NE07426,335.1,70.7,6.085,5.66,59.2,77.94,1948,20,0,3195,14,S37
1066,27,H1NE07547,336.2,71,6.089,5.657,59.43,77.83,1852,20,0,3198,14,S29
1067,27,H1NE07545,336.9,71,6.095,5.657,59.56,77.86,1857,20,0,3201,14,S29
1068,27,H1NE07551,331,70.8,6.066,5.612,58.98,77.13,178,20,0,3204,14,S38
1069,27,H1NE07546,336.8,70.9,6.083,5.652,59.59,78.03,1648,20,0,3207,14,S29
1070,27,H1NE07539,333.5,70.6,6.051,5.624,59.3,78.06,638,20,0,3210,14,S35
