Item,Pallet No.,Serial No,Pmax(W),Voc(V),Isc(A),Ipm(A),Vpm(V),FF,Order,Pallet Order,Exclude,UUID,Inverter,String
1440,36,GZNE29579,332.7,70.6,6.063,5.629,59.11,77.74,751,36,0,4320,02,N20
1441,37,H1NE06240,335,70.5,6.075,5.655,59.23,78.23,1768,37,0,4323,02,N22
1442,37,H1NE06251,335.9,70.6,6.094,5.66,59.34,78.01,1959,37,0,4326,03,N54
1443,37,H1NE06293,334.1,70.6,6.095,5.625,59.39,77.59,670,37,0,4329,02,N20
1444,37,H1NE06304,333.5,70.7,6.058,5.624,59.29,77.91,640,37,0,4332,02,N20
1445,37,H1NE06402,335,70.7,6.076,5.65,59.3,77.97,1542,37,0,4335,02,N22
1446,37,H1NE06410,333,70.7,6.029,5.611,59.34,78.14,171,37,0,4338,02,N20
1447,37,H1NE06431,334.5,70.7,6.054,5.647,59.24,78.19,1399,37,0,4341,02,N22
1448,37,H1NE06530,334.1,70.8,6.061,5.615,59.5,77.87,311,37,0,4344,02,N20
1449,37,H1NE06502,336.1,70.8,6.073,5.649,59.49,78.2,1500,37,0,4347,02,N22
1450,37,H1NE06538,335.5,70.7,6.085,5.654,59.34,77.99,1729,37,0,4350,02,N22
1451,37,H1NE06616,335.5,70.8,6.091,5.656,59.32,77.85,1813,37,0,4353,02,N22
1452,37,H1NE06673,333.1,70.7,6.085,5.627,59.18,77.44,708,37,0,4356,02,N20
1453,37,H1NE06680,332.7,70.7,6.071,5.628,59.13,77.57,729,37,0,4359,02,N20
1454,37,H1NE06779,333.2,70.7,6.08,5.622,59.26,77.55,577,37,0,4362,02,N21
1455,37,H1NE06801,334,70.7,6.062,5.629,59.32,77.94,760,37,0,4365,02,N21
1456,37,H1NE06789,337.7,71,6.072,5.652,59.75,78.36,1650,37,1,4368,,
1457,37,H1NE06866,337.9,70.8,6.095,5.671,59.58,78.3,2147,37,1,4371,,
1458,37,H1NE06875,336.7,70.8,6.077,5.655,59.54,78.22,1784,37,0,4374,02,N24
1459,37,H1NE06969,337.6,70.9,6.08,5.661,59.63,78.29,1996,37,1,4377,,
1460,37,H1NE06978,333.9,70.7,6.043,5.618,59.44,78.12,429,37,0,4380,02,N21
1461,37,H1NE07015,332.4,70.7,6.071,5.62,59.15,77.39,491,37,0,4383,02,N21
1462,37,H1NE07049,336.1,70.9,6.072,5.649,59.5,78.1,1501,37,0,4386,02,N24
1463,37,H1NE07030,336.4,70.8,6.085,5.66,59.43,78.1,1962,37,0,4389,03,N54
1464,37,H1NE07159,334.4,70.8,6.062,5.652,59.17,77.95,1624,37,0,4392,02,N24
1465,37,H1NE07181,333.8,70.7,6.068,5.618,59.41,77.83,427,37,0,4395,02,N21
1466,37,H1NE07249,334.7,70.8,6.083,5.651,59.23,77.7,1587,37,0,4398,02,N24
1467,37,H1NE07254,334.1,70.8,6.046,5.615,59.49,78.09,312,37,0,4401,02,N21
1468,37,H1NE07167,333.1,70.7,6.039,5.612,59.36,77.97,191,37,0,4404,02,N21
1469,37,H1NE07476,332.9,70.8,6.048,5.609,59.35,77.73,123,37,0,4407,02,N21
1470,37,H1NE07506,334.2,70.6,6.076,5.633,59.33,77.91,858,37,0,4410,02,N15
1471,37,H1NE07533,332.9,70.8,6.045,5.612,59.31,77.83,189,37,0,4413,02,N21
1472,37,H1NE07524,334.6,70.9,6.068,5.654,59.19,77.81,1715,37,0,4416,02,N24
1473,37,H1NE07601,335.5,70.9,6.077,5.657,59.31,77.9,1843,37,0,4419,02,N24
1474,37,H1NE07670,334.4,70.7,6.086,5.659,59.09,77.72,1907,37,0,4422,02,N24
1475,37,H1NE07707,331.2,70.6,6.076,5.651,58.61,77.15,1558,37,0,4425,02,N24
1476,37,H1NE07764,331.9,70.6,6.044,5.611,59.16,77.77,156,37,0,4428,02,N21
1477,37,H1NE07765,331.8,70.5,6.046,5.621,59.04,77.9,524,37,0,4431,02,N21
1478,37,H1NE07817,332.1,70.6,6.044,5.615,59.15,77.82,279,37,0,4434,02,N21
1479,37,H1NE07866,332.4,70.6,6.068,5.616,59.18,77.58,321,37,0,4437,02,N21
1480,37,GZNE29192,335.3,70.5,6.114,5.673,59.1,77.79,2152,37,0,4440,06,N51
1481,38,H1NE07142,333.7,70.4,6.092,5.664,58.92,77.76,2037,38,0,4443,02,N24
1482,38,H1NE07163,333.4,70.7,6.052,5.618,59.34,77.91,410,38,0,4446,02,N15
1483,38,H1NE07143,332.8,70.8,6.064,5.655,58.85,77.56,1748,38,0,4449,02,N24
1484,38,H1NE07144,334.3,70.7,6.052,5.649,59.17,78.11,1484,38,0,4452,02,N24
1485,38,H1NE07145,333.4,70.7,6.056,5.65,59.01,77.9,1527,38,0,4455,02,N24
1486,38,H1NE07149,333.2,70.8,6.053,5.607,59.42,77.78,82,38,0,4458,,
1487,38,H1NE07099,334,70.5,6.053,5.651,59.1,78.21,1576,38,0,4461,02,N24
1488,38,H1NE07097,332,70.6,6.045,5.601,59.26,77.73,17,38,0,4464,04,N78
1489,38,H1NE07087,333,70.8,6.052,5.613,59.33,77.71,223,38,0,4467,02,N15
1490,38,H1NE07103,331.9,70.7,6.036,5.609,59.17,77.8,106,38,0,4470,,
1491,38,H1NE07102,334,70.8,6.065,5.64,59.22,77.76,1072,38,0,4473,07,N67
1492,38,H1NE07106,333.2,70.7,6.041,5.619,59.29,78.04,459,38,0,4476,02,N15
1493,38,H1NE07105,335.1,70.8,6.066,5.66,59.2,78.06,1949,38,0,4479,02,N26
1494,38,H1NE07110,333.5,70.7,6.06,5.618,59.36,77.79,420,38,0,4482,02,N15
1495,38,H1NE07111,333.5,70.8,6.08,5.616,59.39,77.51,337,38,0,4485,02,N15
1496,38,H1NE07107,335.4,70.8,6.082,5.661,59.24,77.86,1984,38,0,4488,02,N26
1497,38,H1NE07108,333,70.8,6.044,5.608,59.37,77.82,98,38,0,4491,,
1498,38,H1NE07101,332.7,70.8,6.069,5.642,58.96,77.45,1131,38,0,4494,02,N26
1499,38,H1NE07115,333.4,70.7,6.081,5.624,59.29,77.59,636,38,0,4497,02,N15
1500,38,H1NE07117,333.5,70.6,6.05,5.622,59.32,78.04,578,38,0,4500,02,N15
1501,38,H1NE07112,335.8,70.8,6.072,5.66,59.33,78.07,1958,38,0,4503,02,N26
1502,38,H1NE07113,335.1,70.7,6.089,5.663,59.17,77.86,2021,38,0,4506,07,N64
1503,38,H1NE07104,333.2,70.7,6.072,5.617,59.32,77.58,371,38,0,4509,02,N15
1504,38,H1NE07119,333.3,70.7,6.057,5.624,59.26,77.85,632,38,0,4512,02,N15
1505,38,H1NE07120,333.2,70.7,6.074,5.623,59.26,77.6,609,38,0,4515,02,N15
1506,38,H1NE07116,335.3,70.8,6.088,5.659,59.25,77.84,1919,38,0,4518,02,N26
1507,38,H1NE07122,333.4,70.8,6.047,5.618,59.34,77.91,411,38,0,4521,02,N15
1508,38,H1NE07118,335.5,70.9,6.077,5.658,59.3,77.92,1890,38,0,4524,02,N26
1509,38,H1NE07124,333.5,70.8,6.042,5.617,59.38,77.95,378,38,0,4527,02,N15
1510,38,H1NE07109,335.2,70.9,6.073,5.653,59.3,77.88,1675,38,0,4530,02,N26
1511,38,H1NE07126,334.2,71,6.047,5.615,59.51,77.82,313,38,0,4533,07,N75
1512,38,H1NE07121,334.6,70.9,6.065,5.652,59.2,77.79,1626,38,0,4536,02,N26
1513,38,H1NE07130,333,70.6,6.049,5.625,59.2,77.95,660,38,0,4539,07,N67
1514,38,H1NE07123,334.3,70.8,6.071,5.651,59.15,77.74,1580,38,0,4542,02,N26
1515,38,H1NE07128,332.6,70.6,6.034,5.62,59.18,78.06,496,38,0,4545,07,N67
1516,38,H1NE07125,334.9,70.7,6.095,5.66,59.17,77.7,1946,38,0,4548,02,N26
1517,38,H1NE07129,333.1,70.9,6.083,5.655,58.91,77.23,1751,38,0,4551,02,N26
1518,38,H1NE06759,334.4,70.9,6.046,5.62,59.5,78.06,520,38,0,4554,07,N67
1519,38,H1NE06813,333.7,70.6,6.082,5.63,59.26,77.69,780,38,0,4557,07,N67
1520,38,G5NH12709,330.8,70.8,6.078,5.61,58.95,76.87,129,38,0,4560,05,N27
1521,39,H1NE08126,336,70.9,6.047,5.642,59.55,78.41,1146,43,0,4563,02,N14
1522,39,H1NE08136,333.6,70.8,6.04,5.606,59.5,77.96,65,43,0,4566,02,N19
1523,39,H1NE08137,335.3,70.8,6.068,5.642,59.42,77.98,1141,43,0,4569,02,N14
1524,39,H1NE08139,332.6,70.7,6.036,5.606,59.33,77.92,59,43,0,4572,02,N19
1525,39,H1NE08140,332,70.5,6.037,5.608,59.19,77.99,90,43,0,4575,02,N19
1526,39,H1NE08141,334.6,70.7,6.053,5.639,59.34,78.2,1038,43,0,4578,02,N14
1527,39,H1NE08143,336,70.9,6.067,5.65,59.47,78.13,1551,43,0,4581,02,N17
1528,39,H1NE08142,331.9,70.8,6.032,5.606,59.21,77.66,57,43,0,4584,02,N19
1529,39,H1NE08146,335.6,70.7,6.055,5.642,59.49,78.4,1143,43,0,4587,02,N14
1530,39,H1NE08151,332.3,70.7,6.046,5.597,59.36,77.69,6,43,0,4590,04,N77
1531,39,H1NE08144,332.7,70.7,6.029,5.608,59.32,78.09,95,43,0,4593,02,N19
1532,39,H1NE08152,335.6,70.8,6.054,5.644,59.46,78.32,1248,43,0,4596,02,N14
1533,39,H1NE08145,332.8,70.7,6.037,5.602,59.41,77.93,25,43,0,4599,04,N78
1534,39,H1NE08150,335.3,70.8,6.065,5.638,59.46,78.09,994,43,0,4602,02,N14
1535,39,H1NE08115,331.7,70.6,6.02,5.593,59.3,78.04,1,43,0,4605,04,N77
1536,39,H1NE08123,335.3,70.7,6.063,5.644,59.41,78.19,1246,43,0,4608,02,N14
1537,39,H1NE08120,331.9,70.6,6.005,5.599,59.28,78.26,11,43,0,4611,04,N77
1538,39,H1NE08118,331,70.8,6.039,5.594,59.18,77.46,2,43,0,4614,04,N77
1539,39,H1NE08125,335.7,70.9,6.045,5.642,59.5,78.38,1144,43,0,4617,02,N14
1540,39,H1NE08116,335.1,70.8,6.066,5.636,59.45,78.02,933,43,0,4620,02,N14
1541,39,H1NE08122,330.5,70.6,6.046,5.603,58.98,77.45,26,43,0,4623,04,N78
1542,39,H1NE08121,334.9,70.7,6.052,5.636,59.42,78.26,932,43,0,4626,02,N14
1543,39,H1NE08124,332.2,70.7,6.045,5.597,59.35,77.73,5,43,0,4629,04,N77
1544,39,H1NE08128,335.5,70.8,6.041,5.641,59.48,78.4,1109,43,0,4632,02,N17
1545,39,H1NE08127,332.9,70.8,6.027,5.6,59.45,77.99,15,43,0,4635,04,N78
1546,39,H1NE08130,330.8,70.8,6.037,5.6,59.07,77.39,13,43,0,4638,04,N77
1547,39,H1NE08129,332.3,70.7,6.032,5.602,59.31,77.87,24,43,0,4641,04,N78
1548,39,H1NE08131,335.2,70.8,6.049,5.634,59.48,78.22,887,43,0,4644,02,N17
1549,39,H1NE08100,335.4,70.8,6.072,5.646,59.41,78.04,1351,43,0,4647,02,N17
1550,39,H1NE08133,336.3,70.9,6.059,5.647,59.55,78.26,1406,43,0,4650,02,N17
1551,39,H1NE08132,333.6,70.9,6.034,5.605,59.52,78.03,54,43,0,4653,02,N19
1552,39,H1NE08102,335.4,70.8,6.067,5.646,59.41,78.14,1352,43,0,4656,02,N17
1553,39,H1NE08105,335.5,70.8,6.055,5.643,59.46,78.28,1185,43,0,4659,02,N17
1554,39,H1NE08101,332.4,70.7,6.034,5.604,59.31,77.93,42,43,0,4662,08,N80
1555,39,H1NE08106,334.5,70.8,6.051,5.635,59.35,78.12,914,43,0,4665,02,N17
1556,39,H1NE08104,332.8,70.7,6.051,5.604,59.38,77.75,45,43,0,4668,08,N80
1557,39,H1NE08069,333.4,70.7,6.056,5.621,59.32,77.89,550,43,0,4671,02,N19
1558,39,H1NE08107,332.9,70.7,6.043,5.606,59.38,77.89,62,43,0,4674,02,N19
1559,39,H1NE08108,334.9,70.7,6.061,5.639,59.38,78.15,1039,43,0,4677,02,N17
1560,39,GZNE29201,332.5,70.5,6.075,5.629,59.08,77.68,748,43,0,4680,02,N25
1561,40,H1NE07220,333,70.9,6.069,5.646,58.98,77.4,1332,44,0,4683,02,N14
1562,40,H1NE07218,332.7,70.8,6.065,5.61,59.3,77.53,143,44,0,4686,02,N19
1563,40,H1NE07256,334.7,70.8,6.071,5.648,59.26,77.91,1438,44,0,4689,02,N17
1564,40,H1NE07252,334.3,70.8,6.077,5.647,59.2,77.75,1396,44,0,4692,02,N17
1565,40,H1NE07199,334.1,70.6,6.072,5.658,59.04,77.9,1869,44,0,4695,02,N23
1566,40,H1NE07201,332.7,70.6,6.088,5.622,59.18,77.46,570,44,0,4698,02,N19
1567,40,H1NE07224,335.2,70.9,6.082,5.651,59.32,77.77,1596,44,0,4701,02,N23
1568,40,H1NE07226,333.6,70.7,6.061,5.622,59.34,77.82,581,44,0,4704,02,N19
1569,40,H1NE07208,335,70.8,6.069,5.648,59.3,77.97,1442,44,0,4707,02,N25
1570,40,H1NE07204,333.1,70.7,6.072,5.623,59.23,77.57,607,44,0,4710,02,N19
1571,40,H1NE07210,335.1,70.9,6.085,5.652,59.29,77.69,1635,44,0,4713,02,N23
1572,40,H1NE07229,332.1,70.8,6.058,5.619,59.1,77.43,442,44,0,4716,02,N19
1573,40,H1NE07212,335.9,71,6.078,5.652,59.44,77.89,1643,44,0,4719,02,N23
1574,40,H1NE07205,332.1,70.7,6.077,5.621,59.08,77.28,526,44,0,4722,02,N16
1575,40,H1NE07211,333.8,70.8,6.049,5.613,59.46,77.88,235,44,0,4725,02,N16
1576,40,H1NE07232,333.2,70.7,6.054,5.619,59.29,77.81,460,44,0,4728,02,N16
1577,40,H1NE07213,333.5,70.8,6.063,5.614,59.41,77.7,268,44,0,4731,02,N16
1578,40,H1NE07221,334.1,70.8,6.073,5.651,59.13,77.75,1578,44,0,4734,02,N23
1579,40,H1NE07228,333.5,70.8,6.05,5.619,59.35,77.91,471,44,0,4737,02,N16
1580,40,H1NE07219,331.9,70.8,6.06,5.608,59.18,77.4,87,44,0,4740,02,N16
1581,40,H1NE07214,334.4,70.9,6.071,5.644,59.24,77.72,1241,44,0,4743,02,N25
1582,40,H1NE07223,334.6,70.9,6.071,5.643,59.29,77.75,1181,44,0,4746,02,N25
1583,40,H1NE07231,333.2,70.8,6.05,5.616,59.33,77.85,333,44,0,4749,02,N16
1584,40,H1NE07215,334.8,70.9,6.07,5.643,59.33,77.85,1183,44,0,4752,02,N25
1585,40,H1NE07165,333.2,70.8,6.057,5.616,59.33,77.73,334,44,0,4755,02,N16
1586,40,H1NE07164,334.6,70.9,6.064,5.652,59.19,77.87,1627,44,0,4758,02,N23
1587,40,H1NE07171,332.7,70.7,6.072,5.615,59.26,77.55,287,44,0,4761,02,N16
1588,40,H1NE07168,335,70.8,6.089,5.658,59.21,77.77,1881,44,0,4764,02,N23
1589,40,H1NE07184,332.5,70.7,6.039,5.609,59.27,77.85,114,44,0,4767,02,N16
1590,40,H1NE07170,335.6,70.8,6.083,5.662,59.27,77.96,2005,44,0,4770,07,N76
1591,40,H1NE07192,334.1,70.7,6.037,5.616,59.48,78.26,344,44,0,4773,02,N16
1592,40,H1NE07175,334.7,70.8,6.083,5.66,59.14,77.73,1944,44,0,4776,07,N76
1593,40,H1NE07193,333.9,70.7,6.052,5.618,59.43,78.02,430,44,0,4779,02,N16
1594,40,H1NE07172,334.8,70.8,6.082,5.659,59.15,77.77,1912,44,0,4782,02,N23
1595,40,H1NE07198,332.8,70.6,6.054,5.619,59.23,77.89,452,44,0,4785,02,N16
1596,40,H1NE07182,335.5,70.9,6.09,5.648,59.4,77.73,1447,44,0,4788,02,N25
1597,40,H1NE07186,335.7,70.8,6.084,5.656,59.35,77.92,1816,44,0,4791,02,N23
1598,40,H1NE07180,333.4,70.6,6.062,5.617,59.36,77.86,375,44,0,4794,05,N27
1599,40,H1NE07190,335.5,70.8,6.073,5.653,59.35,78,1681,44,0,4797,02,N23
1600,40,GZNE29372,332.6,70.8,6.064,5.615,59.23,77.52,284,44,0,4800,05,N27
1601,41,H2NH02454,331.5,70.2,6.033,5.651,58.65,78.28,1559,39,0,4803,02,N26
1602,41,H2NH02457,331.4,70.3,6.06,5.645,58.72,77.82,1252,39,0,4806,02,N26
1603,41,H2NH02455,331.7,70.4,6.076,5.637,58.84,77.59,942,39,0,4809,07,N67
1604,41,H2NH02458,331.8,70.3,6.07,5.646,58.76,77.77,1313,39,0,4812,07,N64
1605,41,H2NH02459,331.1,70.3,6.07,5.638,58.73,77.66,967,39,0,4815,07,N67
1606,41,H2NH02460,331.1,70.3,6.063,5.644,58.66,77.73,1191,39,0,4818,07,N64
1607,41,H2NH02462,331.1,70.3,6.053,5.646,58.65,77.82,1304,39,0,4821,07,N64
1608,41,H2NH02463,331.3,70.2,6.065,5.656,58.58,77.85,1787,39,0,4824,07,N64
1609,41,H2NH02466,330.7,70.2,6.045,5.637,58.65,77.87,935,39,0,4827,07,N67
1610,41,H2NH02467,330.2,70.3,6.06,5.63,58.65,77.52,765,39,0,4830,07,N67
1611,41,H2NH02468,330.1,70.3,6.061,5.629,58.64,77.52,742,39,0,4833,07,N67
1612,41,H2NH02452,330.1,70.2,6.069,5.633,58.59,77.47,834,39,0,4836,07,N67
1613,41,H2NH02350,332.4,70.5,6.059,5.64,58.94,77.84,1059,39,0,4839,07,N67
1614,41,H2NH02351,332.4,70.5,6.069,5.635,58.99,77.7,900,39,0,4842,07,N67
1615,41,H2NH02357,332.6,70.6,6.065,5.633,59.05,77.7,852,39,0,4845,07,N75
1616,41,H2NH02360,332.6,70.6,6.053,5.635,59.02,77.81,904,39,0,4848,07,N75
1617,41,H2NH02361,333,70.6,6.065,5.638,59.06,77.77,988,39,0,4851,07,N71
1618,41,H2NH02358,332.4,70.6,6.06,5.636,58.97,77.75,923,39,0,4854,07,N71
1619,41,H2NH02359,333.1,70.6,6.066,5.637,59.08,77.74,962,39,0,4857,07,N71
1620,41,H2NH02366,332.9,70.5,6.061,5.639,59.03,77.87,1031,39,0,4860,07,N71
1621,41,H2NH02367,332.8,70.6,6.064,5.637,59.05,77.77,957,39,0,4863,07,N71
1622,41,H2NH02368,332.5,70.6,6.066,5.634,59.02,77.69,876,39,0,4866,07,N75
1623,41,H2NH02369,332.6,70.6,6.071,5.636,59.02,77.66,925,39,0,4869,07,N71
1624,41,H2NH02370,332.4,70.5,6.067,5.637,58.97,77.72,951,39,0,4872,07,N71
1625,41,H2NH02371,332.6,70.5,6.073,5.641,58.95,77.7,1096,39,0,4875,07,N71
1626,41,H2NH02362,331.9,70.4,6.072,5.638,58.87,77.64,976,39,0,4878,07,N71
1627,41,H2NH02349,332.1,70.4,6.059,5.634,58.96,77.81,871,39,0,4881,07,N75
1628,41,H2NH02427,332.7,70.5,6.071,5.639,59.01,77.69,1025,39,0,4884,07,N71
1629,41,H2NH02340,332.8,70.5,6.057,5.639,59.01,77.89,1029,39,0,4887,07,N71
1630,41,H2NH02429,332.4,70.5,6.069,5.635,58.98,77.66,901,39,0,4890,07,N75
1631,41,H2NH02438,331.9,70.3,6.046,5.642,58.83,78.07,1119,39,0,4893,07,N71
1632,41,H2NH02439,332.7,70.4,6.07,5.645,58.93,77.88,1279,39,0,4896,07,N64
1633,41,H2NH02428,332.1,70.5,6.048,5.638,58.91,77.93,981,39,0,4899,07,N71
1634,41,H2NH02440,331.8,70.5,6.053,5.631,58.93,77.79,788,39,0,4902,07,N75
1635,41,H2NH02435,332.9,70.4,6.065,5.641,59.02,78.02,1104,39,0,4905,07,N72
1636,41,H2NH02434,332.6,70.4,6.076,5.643,58.94,77.72,1167,39,0,4908,07,N72
1637,41,H2NH02437,332.2,70.4,6.041,5.639,58.92,78.15,1015,39,0,4911,07,N72
1638,41,H2NH02338,332.4,70.6,6.048,5.634,58.99,77.89,875,39,0,4914,07,N75
1639,41,H2NH02339,332.9,70.5,6.044,5.64,59.01,78.12,1068,39,0,4917,07,N72
1640,41,GXNH05393,332.1,70.6,6.046,5.626,59.03,77.81,682,39,0,4920,07,N75
1641,42,H2NH02565,331.3,70.4,6.055,5.629,58.85,77.74,743,40,0,4923,07,N75
1642,42,H2NH02573,332.4,70.3,6.077,5.652,58.81,77.85,1608,40,0,4926,07,N64
1643,42,H2NH02575,332.5,70.3,6.065,5.649,58.87,78,1473,40,0,4929,07,N64
1644,42,H2NH02564,332.8,70.4,6.066,5.641,58.98,77.9,1101,40,0,4932,07,N72
1645,42,H2NH02559,331.8,70.3,6.066,5.642,58.82,77.81,1116,40,0,4935,07,N72
1646,42,H2NH02533,332.6,70.5,6.06,5.642,58.95,77.83,1130,40,0,4938,07,N72
1647,42,H2NH02583,331.9,70.3,6.06,5.644,58.82,77.96,1203,40,0,4941,07,N64
1648,42,H2NH02581,332.5,70.4,6.057,5.644,58.91,77.98,1218,40,0,4944,07,N64
1649,42,H2NH02574,332.6,70.3,6.069,5.65,58.86,77.97,1517,40,0,4947,07,N64
1650,42,H2NH02572,332.4,70.2,6.079,5.649,58.84,77.87,1471,40,0,4950,07,N64
1651,42,H2NH02552,331.2,70.1,6.068,5.65,58.63,77.87,1507,40,0,4953,07,N64
1652,42,H2NH02558,331.6,70.3,6.068,5.643,58.76,77.69,1153,40,0,4956,07,N72
1653,42,H2NH02560,332,70.3,6.07,5.646,58.79,77.76,1316,40,0,4959,07,N72
1654,42,H2NH02554,331.5,70.3,6.087,5.647,58.7,77.47,1360,40,0,4962,07,N72
1655,42,H2NH02545,331.4,70.4,6.068,5.634,58.83,77.62,863,40,0,4965,07,N75
1656,42,H2NH02550,331.7,70.5,6.044,5.639,58.82,77.83,1005,40,0,4968,07,N72
1657,42,H2NH02561,331.7,70.3,6.07,5.643,58.78,77.78,1154,40,0,4971,07,N72
1658,42,H2NH02562,331.3,70.2,6.069,5.649,58.64,77.74,1458,40,0,4974,07,N72
1659,42,H2NH02563,331.1,70.3,6.069,5.639,58.71,77.62,996,40,0,4977,07,N60
1660,42,H2NH02551,331.7,70.3,6.073,5.649,58.71,77.71,1462,40,0,4980,07,N60
1661,42,H2NH02568,332.2,70.4,6.075,5.64,58.89,77.69,1053,40,0,4983,07,N60
1662,42,H2NH02569,332.1,70.3,6.084,5.651,58.76,77.62,1562,40,0,4986,07,N60
1663,42,H2NH02570,331.5,70.3,6.084,5.644,58.73,77.47,1195,40,0,4989,07,N60
1664,42,H2NH02540,331.8,70.4,6.061,5.636,58.87,77.71,921,40,0,4992,07,N60
1665,42,H2NH02555,331.3,70.2,6.067,5.65,58.63,77.8,1508,40,0,4995,07,N60
1666,42,H2NH02557,331.1,70.3,6.064,5.639,58.72,77.63,997,40,0,4998,07,N60
1667,42,H2NH02525,331.7,70.5,6.053,5.636,58.85,77.69,919,40,0,5001,07,N60
1668,42,H2NH02524,332.2,70.3,6.054,5.645,58.85,78.01,1263,40,0,5004,07,N60
1669,42,H2NH02523,331.6,70.4,6.075,5.646,58.74,77.59,1310,40,0,5007,07,N60
1670,42,H2NH02512,331.7,70.3,6.063,5.642,58.79,77.77,1114,40,0,5010,07,N68
1671,42,H2NH02526,332.6,70.6,6.053,5.635,59.03,77.84,905,40,0,5013,07,N75
1672,42,H2NH02513,331.6,70.3,6.071,5.646,58.74,77.76,1311,40,0,5016,07,N68
1673,42,H2NH02519,331.3,70.3,6.055,5.64,58.75,77.89,1041,40,0,5019,07,N68
1674,42,H2NH02527,332.2,70.5,6.046,5.632,58.98,77.91,813,40,0,5022,07,N75
1675,42,H2NH02531,332.2,70.6,6.053,5.631,58.99,77.73,791,40,0,5025,07,N60
1676,42,H2NH02534,332.3,70.6,6.062,5.635,58.97,77.69,898,40,0,5028,07,N60
1677,42,H2NH02535,332.5,70.6,6.063,5.632,59.03,77.67,815,40,0,5031,07,N68
1678,42,H2NH02522,331.5,70.4,6.057,5.639,58.78,77.78,1000,40,0,5034,07,N68
1679,42,H2NH02529,332.7,70.6,6.057,5.639,59,77.82,1026,40,0,5037,07,N68
1680,42,GXNH05387,330.6,70.6,5.994,5.603,59.01,78.1,27,40,0,5040,08,N79
1681,43,H2NH02537,332.8,70.5,6.062,5.64,59,77.84,1066,45,0,5043,02,N25
1682,43,H2NH02511,332,70.3,6.053,5.649,58.77,78,1465,45,0,5046,02,N17
1683,43,H2NH02539,333.1,70.5,6.053,5.637,59.1,78.03,963,45,0,5049,02,N25
1684,43,H2NH02538,332.8,70.5,6.069,5.64,59,77.73,1067,45,0,5052,02,N25
1685,43,H2NH02530,332.9,70.6,6.077,5.639,59.03,77.57,1032,45,0,5055,02,N25
1686,43,H2NH02528,332.5,70.5,6.062,5.641,58.94,77.82,1094,45,0,5058,02,N25
1687,43,H2NH02543,332.4,70.4,6.063,5.643,58.9,77.92,1161,45,0,5061,02,N25
1688,43,H2NH02544,331.3,70.3,6.048,5.639,58.74,77.91,999,45,0,5064,02,N23
1689,43,H2NH02532,333.2,70.6,6.066,5.639,59.09,77.78,1034,45,0,5067,02,N23
1690,43,H2NH02541,332.4,70.5,6.06,5.636,58.98,77.77,924,45,0,5070,07,N59
1691,43,H2NH02547,332.2,70.6,6.058,5.636,58.94,77.73,922,45,0,5073,07,N59
1692,43,H2NH02548,332.9,70.6,6.06,5.648,58.94,77.85,1426,45,0,5076,07,N76
1693,43,H2NH02549,331.7,70.5,6.041,5.629,58.92,77.85,744,45,0,5079,07,N59
1694,43,H2NH02542,331.5,70.5,6.036,5.63,58.89,77.96,766,45,0,5082,07,N59
1695,43,H2NH02553,332.2,70.3,6.065,5.641,58.89,77.91,1089,45,0,5085,07,N59
1696,43,H2NH02536,332.5,70.5,6.061,5.638,58.98,77.81,984,45,0,5088,07,N59
1697,43,H2NH02471,331.2,70.4,6.047,5.64,58.73,77.85,1040,45,0,5091,07,N59
1698,43,H2NH02461,332.4,70.4,6.073,5.648,58.85,77.72,1418,45,0,5094,07,N76
1699,43,H2NH02472,331.8,70.4,6.054,5.64,58.83,77.84,1047,45,0,5097,07,N59
1700,43,H2NH02474,331.6,70.4,6.067,5.637,58.83,77.62,939,45,0,5100,07,N59
1701,43,H2NH02480,331.9,70.5,6.065,5.641,58.84,77.65,1082,45,0,5103,07,N59
1702,43,H2NH02481,332,70.5,6.077,5.638,58.88,77.54,978,45,0,5106,07,N59
1703,43,H2NH02473,332.3,70.5,6.067,5.639,58.92,77.74,1019,45,0,5109,07,N59
1704,43,H2NH02493,331.7,70.4,6.06,5.639,58.82,77.75,1006,45,0,5112,07,N56
1705,43,H2NH02483,332.2,70.4,6.062,5.644,58.87,77.82,1210,45,0,5115,07,N76
1706,43,H2NH02484,332.5,70.4,6.062,5.649,58.87,77.9,1474,45,0,5118,07,N76
1707,43,H2NH02490,331.5,70.3,6.062,5.64,58.78,77.75,1044,45,0,5121,07,N56
1708,43,H2NH02464,331.3,70.2,6.071,5.654,58.6,77.75,1695,45,0,5124,07,N76
1709,43,H2NH02465,331.4,70.2,6.052,5.646,58.71,77.99,1306,45,0,5127,07,N76
1710,43,H2NH02469,331.3,70.3,6.065,5.644,58.7,77.66,1193,45,0,5130,02,N14
1711,43,H2NH02470,331.6,70.4,6.065,5.644,58.76,77.73,1197,45,0,5133,07,N76
1712,43,H2NH02479,331.4,70.4,6.078,5.636,58.8,77.48,916,45,0,5136,07,N56
1713,43,H2NH02486,332.1,70.5,6.068,5.641,58.88,77.68,1086,45,0,5139,07,N56
1714,43,H2NH02504,331.8,70.3,6.075,5.65,58.72,77.66,1510,45,0,5142,07,N76
1715,43,H2NH02508,331.8,70.4,6.052,5.642,58.8,77.86,1117,45,0,5145,07,N76
1716,43,H2NH02509,332.2,70.3,6.072,5.645,58.85,77.76,1264,45,0,5148,07,N76
